tic,angle,health,momx,momy,weapon,ray0,ray1,ray2,ray3,ray4,ray5,ray6,ray7,ray8,ray9,ray10,ray11,ray12,ray13,ray14,ray15,m0_dx,m0_dy,m0_present,m1_dx,m1_dy,m1_present,m2_dx,m2_dy,m2_present,last_fwd,last_side,last_turn,last_fire,last_use,cmd_fwd,cmd_side,cmd_turn,cmd_buttons
2409,0.8516,98,0.00,0.00,1.00,479.9,344.9,299.0,74.0,81.8,102.5,270.6,363.5,151.1,126.7,121.5,354.8,428.4,233.7,454.3,397.2,149.9,-104.7,1.0,-373.0,279.1,1.0,-315.7,697.7,1.0,1.0,1.0,0.0,0.0,0.0,0,0,-512,0
2410,0.8398,98,0.00,0.00,1.00,228.9,361.9,303.2,72.8,80.1,96.6,181.3,517.0,164.9,129.2,123.2,349.3,407.3,236.6,401.9,391.1,157.2,-93.4,1.0,-392.5,250.9,1.0,-366.2,672.6,1.0,1.0,1.0,0.0,0.0,0.0,0,0,-768,1
2411,0.8320,98,0.00,0.00,1.00,222.3,375.3,306.9,72.3,79.2,93.4,149.0,1256.0,179.1,131.3,123.9,346.8,395.5,245.3,399.9,388.3,153.8,-87.7,1.0,-404.4,231.4,1.0,-400.9,661.6,1.0,1.0,1.0,0.0,1.0,0.0,0,0,-512,1
2412,0.8203,98,0.00,0.00,1.00,213.9,399.3,314.2,71.9,78.3,89.2,125.9,1504.4,206.4,135.2,123.7,344.6,380.7,261.1,409.3,449.9,159.8,-76.2,1.0,-420.3,201.0,1.0,-448.5,630.4,1.0,1.0,1.0,0.0,1.0,0.0,0,0,-768,1
2413,0.8125,98,0.00,0.00,1.00,209.3,418.5,320.2,71.8,77.7,86.9,118.7,1317.6,230.7,138.3,124.0,120.2,372.5,486.6,417.2,473.4,163.4,-68.2,1.0,-422.2,177.1,1.0,-478.9,607.6,1.0,1.0,1.0,0.0,1.0,0.0,0,0,-512,0
2414,0.8008,98,0.00,0.00,1.00,228.6,453.1,331.2,296.6,75.6,84.1,109.7,1190.8,281.5,144.0,125.0,120.5,362.4,454.4,431.5,474.7,168.0,-56.0,1.0,-434.1,145.5,1.0,-526.0,578.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,-768,0
2415,0.7930,84,-0.22,2.62,1.00,399.9,481.0,340.0,298.0,74.5,82.5,104.7,324.1,331.1,148.6,126.1,121.1,357.1,436.5,243.7,457.7,170.5,-47.7,1.0,-440.7,124.0,1.0,-553.7,551.5,1.0,1.0,1.0,0.0,0.0,0.0,0,0,-512,0
2416,0.7812,84,-0.20,2.37,1.00,395.6,466.5,356.1,301.8,73.4,80.0,97.7,204.7,451.8,158.4,127.2,122.3,350.7,413.6,235.8,450.1,176.2,-35.3,1.0,-446.1,91.0,1.0,-590.2,508.9,1.0,1.0,1.0,0.0,0.0,0.0,0,0,-768,1
2417,0.7734,84,-0.18,2.15,1.00,394.7,231.2,368.9,305.4,73.0,78.5,93.5,165.2,1255.1,170.8,128.1,122.1,347.5,400.7,247.0,402.5,180.1,-26.8,1.0,-439.7,67.7,1.0,-616.9,485.7,1.0,1.0,1.0,0.0,1.0,0.0,0,0,-512,1
2418,0.7617,84,-0.16,1.95,1.00,457.8,224.4,391.5,312.2,72.6,76.9,88.6,128.6,1511.0,195.0,130.7,120.9,344.5,384.6,264.9,413.4,183.7,-13.5,1.0,-441.3,35.1,1.0,-648.8,439.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,-768,0
2419,0.7539,84,-0.15,1.76,1.00,458.6,221.4,409.6,317.9,72.6,76.0,85.6,118.8,1398.1,216.0,132.7,120.2,119.5,375.6,497.9,422.8,186.1,-4.3,1.0,-440.6,13.6,1.0,-667.6,406.8,1.0,1.0,1.0,0.0,0.0,0.0,0,0,-512,0
2420,0.7422,84,-0.13,1.60,1.00,484.8,216.9,442.0,328.2,72.8,75.2,82.2,108.7,1189.4,259.4,137.1,120.3,119.4,364.6,463.2,438.4,187.7,9.6,1.0,-438.6,-18.7,1.0,-700.0,362.3,1.0,1.0,1.0,0.0,0.0,0.0,0,0,-768,0
2421,0.7422,84,-0.12,1.45,1.00,486.4,218.6,442.2,328.4,72.9,74.8,81.8,108.2,1187.9,259.0,136.3,119.7,119.3,364.4,463.0,440.2,189.3,9.8,1.0,-429.0,-18.0,1.0,-698.4,362.5,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1
2422,0.7422,84,-0.11,1.31,1.00,487.8,220.1,442.3,328.5,73.0,74.5,81.4,107.7,1186.5,258.7,135.7,119.1,119.2,364.3,462.8,441.8,190.7,10.0,1.0,-427.6,-17.9,1.0,-696.9,362.7,1.0,1.0,1.0,2.0,1.0,0.0,0,0,0,1
